codigo;aprobado;opcion
CI0205;SI;
MA0101;SI;
CE1101;SI;
CE1104;SI;
MA1102;SI;
MA1403;SI;
QU1102;SI;
QU1106;SI;
SE1100;SI;SE1105
SE1200;SI;SE1209
CE1103;SI;
CE1105;SI;
CI1407;SI;
CS1502;SI;
FI1101;NO;
FI1201;SI;
MA1103;SI;
SE1400;NO;
CE2103;NO;
CS2101;NO;
EL2113;NO;
FH1000;NO;
FI1102;NO;
FI1202;NO;
MA2104;NO;
CE1106;NO;
CE2201;NO;
EL2114;NO;
EL2207;NO;
PI2609;NO;
SO4604;NO;
